REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2024/08/01 00:05:00,8885.92,199.99,TRADE
NSW1,2024/08/01 00:10:00,8822.93,210.77,TRADE
NSW1,2024/08/01 00:15:00,8697.95,214.25,TRADE
NSW1,2024/08/01 00:20:00,8639.38,210.70,TRADE
NSW1,2024/08/01 00:25:00,8683.34,217.01,TRADE
NSW1,2024/08/01 00:30:00,8613.46,217.11,TRADE
NSW1,2024/08/01 00:35:00,8543.38,223,TRADE
NSW1,2024/08/01 00:40:00,8541.52,234.72,TRADE
NSW1,2024/08/01 00:45:00,8553.63,222.35,TRADE
NSW1,2024/08/01 00:50:00,8528.92,212,TRADE
NSW1,2024/08/01 00:55:00,8509.39,197.16,TRADE
NSW1,2024/08/01 01:00:00,8518.92,210.71,TRADE
NSW1,2024/08/01 01:05:00,8442.26,183.10,TRADE
NSW1,2024/08/01 01:10:00,8363.54,158.58,TRADE
NSW1,2024/08/01 01:15:00,8288.29,224.93,TRADE
NSW1,2024/08/01 01:20:00,8310.02,191.51,TRADE
NSW1,2024/08/01 01:25:00,8235.08,156.45,TRADE
NSW1,2024/08/01 01:30:00,8208.42,158.06,TRADE
NSW1,2024/08/01 01:35:00,8091.8,154.51,TRADE
NSW1,2024/08/01 01:40:00,8147.7,255.16,TRADE
NSW1,2024/08/01 01:45:00,8074.06,162.21,TRADE
NSW1,2024/08/01 01:50:00,8002.23,151.95,TRADE
NSW1,2024/08/01 01:55:00,8013.18,201.82,TRADE
NSW1,2024/08/01 02:00:00,7678.44,144.90,TRADE
NSW1,2024/08/01 02:05:00,7575.7,147.46,TRADE
NSW1,2024/08/01 02:10:00,7572.06,184.17,TRADE
NSW1,2024/08/01 02:15:00,7480.81,174.74,TRADE
NSW1,2024/08/01 02:20:00,7485.66,159.45,TRADE
NSW1,2024/08/01 02:25:00,7446.24,160.53,TRADE
NSW1,2024/08/01 02:30:00,7428.29,157.31,TRADE
NSW1,2024/08/01 02:35:00,7600.25,239.92,TRADE
NSW1,2024/08/01 02:40:00,7682.42,204.20,TRADE
NSW1,2024/08/01 02:45:00,7659.4,204,TRADE
NSW1,2024/08/01 02:50:00,7568.24,193.69,TRADE
NSW1,2024/08/01 02:55:00,7558.21,187.61,TRADE
NSW1,2024/08/01 03:00:00,7566.23,190.80,TRADE
NSW1,2024/08/01 03:05:00,7518.47,196.37,TRADE
NSW1,2024/08/01 03:10:00,7476.38,189.35,TRADE
NSW1,2024/08/01 03:15:00,7447.36,190.79,TRADE
NSW1,2024/08/01 03:20:00,7427.82,190.86,TRADE
