REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2023/07/01 00:05:00,8748.58,114.27,TRADE
NSW1,2023/07/01 00:10:00,8737.48,114.29,TRADE
NSW1,2023/07/01 00:15:00,8754.52,115.06,TRADE
NSW1,2023/07/01 00:20:00,8631.69,97.33,TRADE
NSW1,2023/07/01 00:25:00,8613.66,91.18,TRADE
NSW1,2023/07/01 00:30:00,8635.83,93,TRADE
NSW1,2023/07/01 00:35:00,8580.69,93.71,TRADE
NSW1,2023/07/01 00:40:00,8554.87,89.73,TRADE
NSW1,2023/07/01 00:45:00,8445.84,75.05,TRADE
NSW1,2023/07/01 00:50:00,8432.77,67.07,TRADE
NSW1,2023/07/01 00:55:00,8406.7,86.23,TRADE
NSW1,2023/07/01 01:00:00,8442.73,88.95,TRADE
NSW1,2023/07/01 01:05:00,8362.45,89.21,TRADE
NSW1,2023/07/01 01:10:00,8312.84,71.01,TRADE
NSW1,2023/07/01 01:15:00,8202.46,75.84,TRADE
NSW1,2023/07/01 01:20:00,8156.55,88.60,TRADE
NSW1,2023/07/01 01:25:00,8101.46,88.90,TRADE
NSW1,2023/07/01 01:30:00,8103.61,69.58,TRADE
NSW1,2023/07/01 01:35:00,7968.53,88.90,TRADE
NSW1,2023/07/01 01:40:00,7934.32,89.21,TRADE
NSW1,2023/07/01 01:45:00,7946.74,76.69,TRADE
NSW1,2023/07/01 01:50:00,7899.22,88.90,TRADE
NSW1,2023/07/01 01:55:00,7897.9,67.97,TRADE
NSW1,2023/07/01 02:00:00,7837.55,84.48,TRADE
NSW1,2023/07/01 02:05:00,7740.33,84.43,TRADE
NSW1,2023/07/01 02:10:00,7710.39,68.60,TRADE
NSW1,2023/07/01 02:15:00,7713.77,86.36,TRADE
NSW1,2023/07/01 02:20:00,7623.46,69.57,TRADE
NSW1,2023/07/01 02:25:00,7525.12,68.39,TRADE
NSW1,2023/07/01 02:30:00,7510.87,70.08,TRADE
NSW1,2023/07/01 02:35:00,7521.97,88.90,TRADE
NSW1,2023/07/01 02:40:00,7406.1,69.28,TRADE
NSW1,2023/07/01 02:45:00,7402.96,68.36,TRADE
NSW1,2023/07/01 02:50:00,7369.15,65.14,TRADE
NSW1,2023/07/01 02:55:00,7347.26,68.39,TRADE
NSW1,2023/07/01 03:00:00,7322.66,88.90,TRADE
NSW1,2023/07/01 03:05:00,7190.45,60.17,TRADE
NSW1,2023/07/01 03:10:00,7107.95,61.07,TRADE
NSW1,2023/07/01 03:15:00,7181.02,67,TRADE
NSW1,2023/07/01 03:20:00,7231.28,114.44,TRADE
NSW1,2023/07/01 03:25:00,7204.3,89.21,TRADE
NSW1,2023/07/01 03:30:00,7170.6,89.21,TRADE
NSW1,2023/07/01 03:35:00,7178.73,89.21,TRADE
NSW1,2023/07/01 03:40:00,7144.45,89.21,TRADE
NSW1,2023/07/01 03:45:00,7104.39,99.08,TRADE
NSW1,2023/07/01 03:50:00,7169.7,89.21,TRADE
NSW1,2023/07/01 03:55:00,7049.67,88.90,TRADE
NSW1,2023/07/01 04:00:00,7083.64,100.83,TRADE
NSW1,2023/07/01 04:05:00,7103.62,89,TRADE
NSW1,2023/07/01 04:10:00,7108.69,89,TRADE
NSW1,2023/07/01 04:15:00,7027.9,115.81,TRADE
NSW1,2023/07/01 04:20:00,7082.99,88.88,TRADE
NSW1,2023/07/01 04:25:00,7002.18,89,TRADE
NSW1,2023/07/01 04:30:00,7043.94,89,TRADE
NSW1,2023/07/01 04:35:00,6971.62,89,TRADE
NSW1,2023/07/01 04:40:00,7079.57,89,TRADE
NSW1,2023/07/01 04:45:00,7049.34,89,TRADE
