REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2023/10/01 00:05:00,6842.09,58.01,TRADE
NSW1,2023/10/01 00:10:00,6923.79,58,TRADE
NSW1,2023/10/01 00:15:00,6933.39,58,TRADE
NSW1,2023/10/01 00:20:00,6801.26,54.09,TRADE
NSW1,2023/10/01 00:25:00,6722.11,52.59,TRADE
NSW1,2023/10/01 00:30:00,6675.01,54.95,TRADE
NSW1,2023/10/01 00:35:00,6603.11,58,TRADE
NSW1,2023/10/01 00:40:00,6604.18,58,TRADE
NSW1,2023/10/01 00:45:00,6611.61,58,TRADE
NSW1,2023/10/01 00:50:00,6594.14,58,TRADE
NSW1,2023/10/01 00:55:00,6553.51,55.70,TRADE
NSW1,2023/10/01 01:00:00,6548.21,58,TRADE
NSW1,2023/10/01 01:05:00,6546.16,58,TRADE
NSW1,2023/10/01 01:10:00,6573.41,58,TRADE
NSW1,2023/10/01 01:15:00,6476.07,58,TRADE
NSW1,2023/10/01 01:20:00,6461.41,55.90,TRADE
NSW1,2023/10/01 01:25:00,6390.21,54.95,TRADE
NSW1,2023/10/01 01:30:00,6325.32,53.94,TRADE
NSW1,2023/10/01 01:35:00,6322.74,55.07,TRADE
NSW1,2023/10/01 01:40:00,6276.31,58,TRADE
NSW1,2023/10/01 01:45:00,6201.23,55.10,TRADE
NSW1,2023/10/01 01:50:00,6219.21,55.48,TRADE
NSW1,2023/10/01 01:55:00,6131.7,54.95,TRADE
NSW1,2023/10/01 02:00:00,6123.09,54.95,TRADE
NSW1,2023/10/01 02:05:00,6186.32,54.95,TRADE
NSW1,2023/10/01 02:10:00,6153.75,54.95,TRADE
NSW1,2023/10/01 02:15:00,6108.5,54.95,TRADE
NSW1,2023/10/01 02:20:00,6005.88,30.95,TRADE
NSW1,2023/10/01 02:25:00,6017.56,39.18,TRADE
NSW1,2023/10/01 02:30:00,5994.16,36.06,TRADE
NSW1,2023/10/01 02:35:00,5952.86,54.95,TRADE
NSW1,2023/10/01 02:40:00,5972.62,54.19,TRADE
NSW1,2023/10/01 02:45:00,6011.93,54.92,TRADE
NSW1,2023/10/01 02:50:00,5914.73,36.06,TRADE
NSW1,2023/10/01 02:55:00,5908.19,36.06,TRADE
NSW1,2023/10/01 03:00:00,5902.91,36.06,TRADE
NSW1,2023/10/01 03:05:00,5905.08,35.02,TRADE
NSW1,2023/10/01 03:10:00,5897.42,36.06,TRADE
NSW1,2023/10/01 03:15:00,5876.59,35.04,TRADE
NSW1,2023/10/01 03:20:00,5854.71,35.06,TRADE
NSW1,2023/10/01 03:25:00,5825.86,34.82,TRADE
NSW1,2023/10/01 03:30:00,5785.59,34.60,TRADE
NSW1,2023/10/01 03:35:00,5767.89,34.36,TRADE
NSW1,2023/10/01 03:40:00,5797.46,22.24,TRADE
NSW1,2023/10/01 03:45:00,5791.35,34.37,TRADE
NSW1,2023/10/01 03:50:00,5778.25,34.84,TRADE
NSW1,2023/10/01 03:55:00,5735.55,29.71,TRADE
NSW1,2023/10/01 04:00:00,5781.27,31.36,TRADE
NSW1,2023/10/01 04:05:00,5755.42,34.41,TRADE
NSW1,2023/10/01 04:10:00,5822.54,36.06,TRADE
NSW1,2023/10/01 04:15:00,5756.77,34.18,TRADE
NSW1,2023/10/01 04:20:00,5803.62,36.06,TRADE
NSW1,2023/10/01 04:25:00,5749.6,34.18,TRADE
NSW1,2023/10/01 04:30:00,5817.99,52.71,TRADE
NSW1,2023/10/01 04:35:00,5800.83,36.06,TRADE
NSW1,2023/10/01 04:40:00,5804.19,36.06,TRADE
NSW1,2023/10/01 04:45:00,5789.01,36.06,TRADE
NSW1,2023/10/01 04:50:00,5791.75,36.06,TRADE
NSW1,2023/10/01 04:55:00,5806.51,36.06,TRADE
NSW1,2023/10/01 05:00:00,5841.94,40.52,TRADE
NSW1,2023/10/01 05:05:00,5814.47,36.06,TRADE
NSW1,2023/10/01 05:10:00,5826.47,36.06,TRADE
NSW1,2023/10/01 05:15:00,5871.04,36.06,TRADE
NSW1,2023/10/01 05:20:00,5936.98,36.06,TRADE
NSW1,2023/10/01 05:25:00,5939.93,36.06,TRADE
NSW1,2023/10/01 05:30:00,5931.65,36.06,TRADE
NSW1,2023/10/01 05:35:00,5900.66,36.06,TRADE
NSW1,2023/10/01 05:40:00,5965.85,36.06,TRADE
NSW1,2023/10/01 05:45:00,5888.1,36.06,TRADE
NSW1,2023/10/01 05:50:00,5870.21,33.72,TRADE
NSW1,2023/10/01 05:55:00,5899.48,34.15,TRADE
NSW1,2023/10/01 06:00:00,5902.5,34.36,TRADE
NSW1,2023/10/01 06:05:00,5889.19,34.85,TRADE
NSW1,2023/10/01 06:10:00,5817.47,19.18,TRADE
NSW1,2023/10/01 06:15:00,5880.95,19.30,TRADE
NSW1,2023/10/01 06:20:00,5823.63,10,TRADE
NSW1,2023/10/01 06:25:00,5818.35,0,TRADE
NSW1,2023/10/01 06:30:00,5854.94,-20.55,TRADE
NSW1,2023/10/01 06:35:00,5736.74,-20.30,TRADE
NSW1,2023/10/01 06:40:00,5717.87,-20.69,TRADE
NSW1,2023/10/01 06:45:00,5661.67,-20.95,TRADE
NSW1,2023/10/01 06:50:00,5666.61,-46.90,TRADE
NSW1,2023/10/01 06:55:00,5639.1,-47.68,TRADE
NSW1,2023/10/01 07:00:00,5644.97,-47.95,TRADE
NSW1,2023/10/01 07:05:00,5549.28,-48.99,TRADE
NSW1,2023/10/01 07:10:00,5623.12,-51.84,TRADE
NSW1,2023/10/01 07:15:00,5445.56,-51.98,TRADE
NSW1,2023/10/01 07:20:00,5405.95,-53.32,TRADE
NSW1,2023/10/01 07:25:00,5399.75,-53.83,TRADE
NSW1,2023/10/01 07:30:00,5388.32,-52.73,TRADE
NSW1,2023/10/01 07:35:00,5246.68,-53.90,TRADE
NSW1,2023/10/01 07:40:00,5275.9,-54.45,TRADE
NSW1,2023/10/01 07:45:00,5202.92,-54.06,TRADE
NSW1,2023/10/01 07:50:00,5115.98,-56,TRADE
NSW1,2023/10/01 07:55:00,5154.96,-56,TRADE
NSW1,2023/10/01 08:00:00,5166.82,-56.92,TRADE
NSW1,2023/10/01 08:05:00,5090.83,-56.27,TRADE
NSW1,2023/10/01 08:10:00,5159.16,-51.86,TRADE
NSW1,2023/10/01 08:15:00,5325.96,-53.31,TRADE
NSW1,2023/10/01 08:20:00,5325.52,-54.62,TRADE
NSW1,2023/10/01 08:25:00,5139.72,-55,TRADE
NSW1,2023/10/01 08:30:00,5152.43,-54.22,TRADE
NSW1,2023/10/01 08:35:00,5230.47,-55,TRADE
NSW1,2023/10/01 08:40:00,5088.37,-48.60,TRADE
NSW1,2023/10/01 08:45:00,5132.47,-58.10,TRADE
NSW1,2023/10/01 08:50:00,4867.53,-56.43,TRADE
NSW1,2023/10/01 08:55:00,4921.03,-56,TRADE
NSW1,2023/10/01 09:00:00,4861.79,-58.89,TRADE
NSW1,2023/10/01 09:05:00,4762.95,-60.49,TRADE
NSW1,2023/10/01 09:10:00,4766.67,-60.13,TRADE
NSW1,2023/10/01 09:15:00,4723.51,-59.79,TRADE
NSW1,2023/10/01 09:20:00,4749.98,-60.98,TRADE
NSW1,2023/10/01 09:25:00,4731.45,-61,TRADE
NSW1,2023/10/01 09:30:00,4635.31,-61.74,TRADE
NSW1,2023/10/01 09:35:00,4635.38,-62.39,TRADE
NSW1,2023/10/01 09:40:00,4606.24,-63.45,TRADE
