REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2023/08/01 00:05:00,7867.71,88.88,TRADE
NSW1,2023/08/01 00:10:00,7852.02,88.89,TRADE
NSW1,2023/08/01 00:15:00,7880.29,88.89,TRADE
NSW1,2023/08/01 00:20:00,7790.44,88.88,TRADE
NSW1,2023/08/01 00:25:00,7813.05,69.86,TRADE
NSW1,2023/08/01 00:30:00,7781.62,86,TRADE
NSW1,2023/08/01 00:35:00,7765.26,70.87,TRADE
NSW1,2023/08/01 00:40:00,7749.96,86,TRADE
NSW1,2023/08/01 00:45:00,7695.76,86,TRADE
NSW1,2023/08/01 00:50:00,7724.96,88.88,TRADE
NSW1,2023/08/01 00:55:00,7714.65,71.43,TRADE
NSW1,2023/08/01 01:00:00,7610.05,70.52,TRADE
NSW1,2023/08/01 01:05:00,7587.15,86,TRADE
NSW1,2023/08/01 01:10:00,7590.59,71.54,TRADE
NSW1,2023/08/01 01:15:00,7492.44,70.60,TRADE
NSW1,2023/08/01 01:20:00,7479.72,71.63,TRADE
NSW1,2023/08/01 01:25:00,7376.78,55.35,TRADE
NSW1,2023/08/01 01:30:00,7351.49,57.04,TRADE
NSW1,2023/08/01 01:35:00,7339.54,84.12,TRADE
NSW1,2023/08/01 01:40:00,7340.29,84.04,TRADE
NSW1,2023/08/01 01:45:00,7289,70.80,TRADE
NSW1,2023/08/01 01:50:00,7248.31,60,TRADE
NSW1,2023/08/01 01:55:00,7199.64,57.04,TRADE
NSW1,2023/08/01 02:00:00,7154.68,57.24,TRADE
NSW1,2023/08/01 02:05:00,7121.68,88.89,TRADE
NSW1,2023/08/01 02:10:00,7075.73,56.94,TRADE
NSW1,2023/08/01 02:15:00,7055.45,60,TRADE
NSW1,2023/08/01 02:20:00,7029.61,69.17,TRADE
NSW1,2023/08/01 02:25:00,6981.71,69.19,TRADE
NSW1,2023/08/01 02:30:00,6959.03,55.82,TRADE
NSW1,2023/08/01 02:35:00,6909.66,60,TRADE
NSW1,2023/08/01 02:40:00,6891.85,86.74,TRADE
NSW1,2023/08/01 02:45:00,6858.17,70.75,TRADE
NSW1,2023/08/01 02:50:00,6865.99,70.70,TRADE
NSW1,2023/08/01 02:55:00,6777.94,69.80,TRADE
NSW1,2023/08/01 03:00:00,6800.28,58.85,TRADE
NSW1,2023/08/01 03:05:00,6744.14,60,TRADE
NSW1,2023/08/01 03:10:00,6735.09,56.75,TRADE
NSW1,2023/08/01 03:15:00,6793.75,86.74,TRADE
NSW1,2023/08/01 03:20:00,6747.66,69.79,TRADE
NSW1,2023/08/01 03:25:00,6729.41,60,TRADE
NSW1,2023/08/01 03:30:00,6681.96,60,TRADE
NSW1,2023/08/01 03:35:00,6734.42,86.74,TRADE
NSW1,2023/08/01 03:40:00,6674.4,60,TRADE
NSW1,2023/08/01 03:45:00,6690.56,68.54,TRADE
NSW1,2023/08/01 03:50:00,6641.35,60,TRADE
NSW1,2023/08/01 03:55:00,6672.64,86.74,TRADE
NSW1,2023/08/01 04:00:00,6664.34,67.99,TRADE
NSW1,2023/08/01 04:05:00,6693.78,67.97,TRADE
NSW1,2023/08/01 04:10:00,6711.51,55.25,TRADE
NSW1,2023/08/01 04:15:00,6674.5,54.98,TRADE
NSW1,2023/08/01 04:20:00,6728.81,54.98,TRADE
NSW1,2023/08/01 04:25:00,6717.62,61.50,TRADE
NSW1,2023/08/01 04:30:00,6734.53,60.90,TRADE
NSW1,2023/08/01 04:35:00,6750.72,60.09,TRADE
NSW1,2023/08/01 04:40:00,6823.14,60.46,TRADE
NSW1,2023/08/01 04:45:00,6793.04,54.98,TRADE
NSW1,2023/08/01 04:50:00,6870.03,60.02,TRADE
NSW1,2023/08/01 04:55:00,6918.95,59.96,TRADE
NSW1,2023/08/01 05:00:00,6928.35,54.98,TRADE
