REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2024/02/01 00:05:00,7395.34,61.25,TRADE
NSW1,2024/02/01 00:10:00,7307.11,62.24,TRADE
NSW1,2024/02/01 00:15:00,7309.19,70.67,TRADE
NSW1,2024/02/01 00:20:00,7243.73,68,TRADE
NSW1,2024/02/01 00:25:00,7164.24,68,TRADE
NSW1,2024/02/01 00:30:00,7110.53,59.57,TRADE
NSW1,2024/02/01 00:35:00,7117.66,75.69,TRADE
NSW1,2024/02/01 00:40:00,7196.03,76.37,TRADE
NSW1,2024/02/01 00:45:00,7064.64,59.99,TRADE
NSW1,2024/02/01 00:50:00,7038.79,65.34,TRADE
NSW1,2024/02/01 00:55:00,7068.43,68,TRADE
NSW1,2024/02/01 01:00:00,7028.04,68,TRADE
NSW1,2024/02/01 01:05:00,7023.64,70.14,TRADE
NSW1,2024/02/01 01:10:00,6911.32,68,TRADE
NSW1,2024/02/01 01:15:00,6816.63,68,TRADE
NSW1,2024/02/01 01:20:00,6842.69,68,TRADE
NSW1,2024/02/01 01:25:00,6819.94,60,TRADE
NSW1,2024/02/01 01:30:00,6767.6,64.20,TRADE
NSW1,2024/02/01 01:35:00,6760.16,68,TRADE
NSW1,2024/02/01 01:40:00,6786.39,85.03,TRADE
NSW1,2024/02/01 01:45:00,6792.92,76.32,TRADE
NSW1,2024/02/01 01:50:00,6702.2,68,TRADE
NSW1,2024/02/01 01:55:00,6684.64,68,TRADE
NSW1,2024/02/01 02:00:00,6659.59,68,TRADE
NSW1,2024/02/01 02:05:00,6614.21,75.99,TRADE
NSW1,2024/02/01 02:10:00,6631.28,68,TRADE
NSW1,2024/02/01 02:15:00,6567.95,68,TRADE
NSW1,2024/02/01 02:20:00,6495.14,68,TRADE
NSW1,2024/02/01 02:25:00,6522.88,68.15,TRADE
NSW1,2024/02/01 02:30:00,6510.61,64.34,TRADE
NSW1,2024/02/01 02:35:00,6493.09,68,TRADE
NSW1,2024/02/01 02:40:00,6505.54,62.75,TRADE
NSW1,2024/02/01 02:45:00,6480.16,68,TRADE
NSW1,2024/02/01 02:50:00,6487.74,68,TRADE
NSW1,2024/02/01 02:55:00,6463.55,62.75,TRADE
NSW1,2024/02/01 03:00:00,6498.64,60,TRADE
NSW1,2024/02/01 03:05:00,6503.59,62.75,TRADE
NSW1,2024/02/01 03:10:00,6502.96,68,TRADE
NSW1,2024/02/01 03:15:00,6548.42,68,TRADE
NSW1,2024/02/01 03:20:00,6553.87,68,TRADE
NSW1,2024/02/01 03:25:00,6562.46,68,TRADE
NSW1,2024/02/01 03:30:00,6552.42,68,TRADE
NSW1,2024/02/01 03:35:00,6574.35,62.47,TRADE
NSW1,2024/02/01 03:40:00,6565.5,62.75,TRADE
NSW1,2024/02/01 03:45:00,6548.18,62.75,TRADE
NSW1,2024/02/01 03:50:00,6549.09,62.75,TRADE
NSW1,2024/02/01 03:55:00,6596.24,62.75,TRADE
NSW1,2024/02/01 04:00:00,6582.55,62.75,TRADE
NSW1,2024/02/01 04:05:00,6616.56,68,TRADE
NSW1,2024/02/01 04:10:00,6728.23,78.66,TRADE
NSW1,2024/02/01 04:15:00,6740.68,77.42,TRADE
NSW1,2024/02/01 04:20:00,6830.68,77.39,TRADE
NSW1,2024/02/01 04:25:00,6836.47,76.87,TRADE
NSW1,2024/02/01 04:30:00,6923.71,88.60,TRADE
NSW1,2024/02/01 04:35:00,6916.5,77.14,TRADE
NSW1,2024/02/01 04:40:00,6975.41,79.24,TRADE
NSW1,2024/02/01 04:45:00,6955.08,78.22,TRADE
NSW1,2024/02/01 04:50:00,7021.76,78.67,TRADE
NSW1,2024/02/01 04:55:00,7086.41,85.39,TRADE
NSW1,2024/02/01 05:00:00,7078.37,85,TRADE
NSW1,2024/02/01 05:05:00,7198.1,77.31,TRADE
NSW1,2024/02/01 05:10:00,7319.83,85,TRADE
NSW1,2024/02/01 05:15:00,7372.77,88.88,TRADE
NSW1,2024/02/01 05:20:00,7442.67,89.48,TRADE
NSW1,2024/02/01 05:25:00,7512.63,94.04,TRADE
NSW1,2024/02/01 05:30:00,7556.56,100,TRADE
NSW1,2024/02/01 05:35:00,7667.57,100,TRADE
NSW1,2024/02/01 05:40:00,7668.7,100.01,TRADE
NSW1,2024/02/01 05:45:00,7748.64,100.01,TRADE
NSW1,2024/02/01 05:50:00,7775.09,100,TRADE
NSW1,2024/02/01 05:55:00,7848.76,100,TRADE
NSW1,2024/02/01 06:00:00,7827.85,87.61,TRADE
NSW1,2024/02/01 06:05:00,7837.66,88.89,TRADE
NSW1,2024/02/01 06:10:00,7943.07,88.89,TRADE
NSW1,2024/02/01 06:15:00,7994.27,85,TRADE
NSW1,2024/02/01 06:20:00,8100.77,85,TRADE
NSW1,2024/02/01 06:25:00,8121.86,71.22,TRADE
NSW1,2024/02/01 06:30:00,8077.43,59.99,TRADE
NSW1,2024/02/01 06:35:00,8208.74,66.49,TRADE
NSW1,2024/02/01 06:40:00,8104.52,62.75,TRADE
NSW1,2024/02/01 06:45:00,8168.07,58.28,TRADE
NSW1,2024/02/01 06:50:00,8140.48,50.56,TRADE
NSW1,2024/02/01 06:55:00,8206.81,58,TRADE
NSW1,2024/02/01 07:00:00,8196.03,58,TRADE
NSW1,2024/02/01 07:05:00,8224.96,62.75,TRADE
NSW1,2024/02/01 07:10:00,8236.18,85.03,TRADE
NSW1,2024/02/01 07:15:00,8267.94,82.99,TRADE
NSW1,2024/02/01 07:20:00,8245.93,62.75,TRADE
NSW1,2024/02/01 07:25:00,8217.55,58,TRADE
NSW1,2024/02/01 07:30:00,8183.49,58,TRADE
NSW1,2024/02/01 07:35:00,8095.63,54.12,TRADE
NSW1,2024/02/01 07:40:00,8158.59,55.72,TRADE
NSW1,2024/02/01 07:45:00,8094.18,56.49,TRADE
NSW1,2024/02/01 07:50:00,8089.34,51.52,TRADE
NSW1,2024/02/01 07:55:00,8056.29,58,TRADE
NSW1,2024/02/01 08:00:00,8083.85,59.99,TRADE
NSW1,2024/02/01 08:05:00,8060.7,58.11,TRADE
NSW1,2024/02/01 08:10:00,8102.31,63.47,TRADE
NSW1,2024/02/01 08:15:00,7952.8,58,TRADE
NSW1,2024/02/01 08:20:00,7919.13,49.56,TRADE
NSW1,2024/02/01 08:25:00,7878.42,58.65,TRADE
NSW1,2024/02/01 08:30:00,7799.02,52.63,TRADE
NSW1,2024/02/01 08:35:00,7762.44,49.56,TRADE
NSW1,2024/02/01 08:40:00,7676.16,53.39,TRADE
NSW1,2024/02/01 08:45:00,7616.97,54.13,TRADE
NSW1,2024/02/01 08:50:00,7587.17,59.05,TRADE
NSW1,2024/02/01 08:55:00,7473.65,58.11,TRADE
NSW1,2024/02/01 09:00:00,7467.98,49.56,TRADE
NSW1,2024/02/01 09:05:00,7424.18,60.69,TRADE
NSW1,2024/02/01 09:10:00,7437.2,50.27,TRADE
NSW1,2024/02/01 09:15:00,7358.89,57.90,TRADE
NSW1,2024/02/01 09:20:00,7376.97,100.01,TRADE
NSW1,2024/02/01 09:25:00,7276.05,102.67,TRADE
NSW1,2024/02/01 09:30:00,7104.55,59.99,TRADE
NSW1,2024/02/01 09:35:00,7087.69,59.99,TRADE
NSW1,2024/02/01 09:40:00,7070.15,57.16,TRADE
NSW1,2024/02/01 09:45:00,7108.64,57.50,TRADE
NSW1,2024/02/01 09:50:00,7035.88,56.79,TRADE
NSW1,2024/02/01 09:55:00,7014.71,57.31,TRADE
NSW1,2024/02/01 10:00:00,6954.2,51.08,TRADE
NSW1,2024/02/01 10:05:00,6901.96,58,TRADE
NSW1,2024/02/01 10:10:00,6920.96,49.56,TRADE
NSW1,2024/02/01 10:15:00,6843.58,49.56,TRADE
NSW1,2024/02/01 10:20:00,6865.08,56.19,TRADE
NSW1,2024/02/01 10:25:00,6776.95,49.92,TRADE
NSW1,2024/02/01 10:30:00,6713.78,49.64,TRADE
NSW1,2024/02/01 10:35:00,6702.29,55.56,TRADE
NSW1,2024/02/01 10:40:00,6710.96,55.20,TRADE
NSW1,2024/02/01 10:45:00,6699.91,58,TRADE
NSW1,2024/02/01 10:50:00,6646.36,54.33,TRADE
NSW1,2024/02/01 10:55:00,6646.43,54.17,TRADE
NSW1,2024/02/01 11:00:00,6590.61,54.02,TRADE
NSW1,2024/02/01 11:05:00,6573.31,49.56,TRADE
NSW1,2024/02/01 11:10:00,6601.69,54.76,TRADE
NSW1,2024/02/01 11:15:00,6533.93,54.47,TRADE
NSW1,2024/02/01 11:20:00,6550.67,55.17,TRADE
NSW1,2024/02/01 11:25:00,6492.23,49.56,TRADE
NSW1,2024/02/01 11:30:00,6505.62,49.56,TRADE
NSW1,2024/02/01 11:35:00,6591.09,59.99,TRADE
NSW1,2024/02/01 11:40:00,6582.57,39.64,TRADE
NSW1,2024/02/01 11:45:00,6623.34,49.56,TRADE
NSW1,2024/02/01 11:50:00,6609.25,55.52,TRADE
NSW1,2024/02/01 11:55:00,6616.17,52.78,TRADE
NSW1,2024/02/01 12:00:00,6705.61,49.66,TRADE
NSW1,2024/02/01 12:05:00,6650.72,54.89,TRADE
NSW1,2024/02/01 12:10:00,6668.52,58,TRADE
NSW1,2024/02/01 12:15:00,6705.59,57.33,TRADE
NSW1,2024/02/01 12:20:00,6745.13,69.81,TRADE
NSW1,2024/02/01 12:25:00,6691.63,59.99,TRADE
NSW1,2024/02/01 12:30:00,6730.64,58,TRADE
NSW1,2024/02/01 12:35:00,6747.97,58,TRADE
NSW1,2024/02/01 12:40:00,6728.43,49.56,TRADE
NSW1,2024/02/01 12:45:00,6753.39,49.56,TRADE
NSW1,2024/02/01 12:50:00,6830.6,58,TRADE
