REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2023/09/01 00:05:00,7703.68,84.82,TRADE
NSW1,2023/09/01 00:10:00,7763.96,85.98,TRADE
NSW1,2023/09/01 00:15:00,7775.09,85.98,TRADE
NSW1,2023/09/01 00:20:00,7697.05,82.19,TRADE
NSW1,2023/09/01 00:25:00,7697.67,77.70,TRADE
NSW1,2023/09/01 00:30:00,7700.56,85.98,TRADE
NSW1,2023/09/01 00:35:00,7614.09,85.98,TRADE
NSW1,2023/09/01 00:40:00,7647.98,85.98,TRADE
NSW1,2023/09/01 00:45:00,7629.96,85.98,TRADE
NSW1,2023/09/01 00:50:00,7578.7,77.85,TRADE
NSW1,2023/09/01 00:55:00,7533.16,77.36,TRADE
NSW1,2023/09/01 01:00:00,7536.45,76.81,TRADE
NSW1,2023/09/01 01:05:00,7520.54,85.98,TRADE
NSW1,2023/09/01 01:10:00,7451.59,85.98,TRADE
NSW1,2023/09/01 01:15:00,7357.73,73.97,TRADE
NSW1,2023/09/01 01:20:00,7374.23,78.08,TRADE
NSW1,2023/09/01 01:25:00,7326.51,73.50,TRADE
NSW1,2023/09/01 01:30:00,7268.96,72.16,TRADE
NSW1,2023/09/01 01:35:00,7227.65,72.22,TRADE
NSW1,2023/09/01 01:40:00,7218.11,73.21,TRADE
NSW1,2023/09/01 01:45:00,7193.12,72.74,TRADE
NSW1,2023/09/01 01:50:00,7127.79,72.31,TRADE
NSW1,2023/09/01 01:55:00,7091.89,73.43,TRADE
NSW1,2023/09/01 02:00:00,7073.69,73.40,TRADE
NSW1,2023/09/01 02:05:00,6976.18,95.72,TRADE
NSW1,2023/09/01 02:10:00,7015.82,85.98,TRADE
NSW1,2023/09/01 02:15:00,6918.89,77.08,TRADE
NSW1,2023/09/01 02:20:00,6877.99,85.98,TRADE
NSW1,2023/09/01 02:25:00,6882.08,85.98,TRADE
NSW1,2023/09/01 02:30:00,6881.09,77.14,TRADE
NSW1,2023/09/01 02:35:00,6767.29,87,TRADE
NSW1,2023/09/01 02:40:00,6788.67,85.98,TRADE
NSW1,2023/09/01 02:45:00,6771.08,66.81,TRADE
NSW1,2023/09/01 02:50:00,6739.31,67.93,TRADE
NSW1,2023/09/01 02:55:00,6689.96,67.89,TRADE
NSW1,2023/09/01 03:00:00,6679.35,70.96,TRADE
NSW1,2023/09/01 03:05:00,6588.35,69.03,TRADE
NSW1,2023/09/01 03:10:00,6603.62,70.02,TRADE
NSW1,2023/09/01 03:15:00,6596.95,68.96,TRADE
NSW1,2023/09/01 03:20:00,6588.84,70.50,TRADE
NSW1,2023/09/01 03:25:00,6528.31,67.77,TRADE
NSW1,2023/09/01 03:30:00,6523.56,68.39,TRADE
NSW1,2023/09/01 03:35:00,6606.15,70.02,TRADE
NSW1,2023/09/01 03:40:00,6510.61,67.90,TRADE
NSW1,2023/09/01 03:45:00,6584.19,70.52,TRADE
NSW1,2023/09/01 03:50:00,6546.17,68.82,TRADE
NSW1,2023/09/01 03:55:00,6525.54,69.08,TRADE
NSW1,2023/09/01 04:00:00,6542.15,69.58,TRADE
NSW1,2023/09/01 04:05:00,6547.51,66.86,TRADE
NSW1,2023/09/01 04:10:00,6527.1,66.24,TRADE
NSW1,2023/09/01 04:15:00,6592.64,66.81,TRADE
NSW1,2023/09/01 04:20:00,6556.42,68.88,TRADE
NSW1,2023/09/01 04:25:00,6549.27,67.98,TRADE
NSW1,2023/09/01 04:30:00,6583.11,68.44,TRADE
NSW1,2023/09/01 04:35:00,6612.88,67.90,TRADE
NSW1,2023/09/01 04:40:00,6615.17,69.35,TRADE
NSW1,2023/09/01 04:45:00,6693.69,69.16,TRADE
NSW1,2023/09/01 04:50:00,6791.6,85.98,TRADE
NSW1,2023/09/01 04:55:00,6794.54,85.98,TRADE
NSW1,2023/09/01 05:00:00,6755.51,72.05,TRADE
NSW1,2023/09/01 05:05:00,6837.44,70.25,TRADE
NSW1,2023/09/01 05:10:00,6925.28,82.57,TRADE
NSW1,2023/09/01 05:15:00,6977.43,79.51,TRADE
NSW1,2023/09/01 05:20:00,7051.87,82.10,TRADE
NSW1,2023/09/01 05:25:00,7082.39,77.41,TRADE
NSW1,2023/09/01 05:30:00,7139.14,85.98,TRADE
NSW1,2023/09/01 05:35:00,7216.38,75.31,TRADE
NSW1,2023/09/01 05:40:00,7307.45,87,TRADE
NSW1,2023/09/01 05:45:00,7381.51,85.98,TRADE
NSW1,2023/09/01 05:50:00,7481.04,87,TRADE
NSW1,2023/09/01 05:55:00,7576.89,111.74,TRADE
NSW1,2023/09/01 06:00:00,7585.87,112.40,TRADE
NSW1,2023/09/01 06:05:00,7696.24,88.89,TRADE
NSW1,2023/09/01 06:10:00,7883.18,122.59,TRADE
NSW1,2023/09/01 06:15:00,7944.48,139.22,TRADE
NSW1,2023/09/01 06:20:00,8057.18,141.49,TRADE
NSW1,2023/09/01 06:25:00,8072.93,169.98,TRADE
NSW1,2023/09/01 06:30:00,8158.92,167.23,TRADE
NSW1,2023/09/01 06:35:00,8236.31,165.05,TRADE
NSW1,2023/09/01 06:40:00,8331.48,171.25,TRADE
NSW1,2023/09/01 06:45:00,8419.04,167.65,TRADE
NSW1,2023/09/01 06:50:00,8532.02,169.56,TRADE
NSW1,2023/09/01 06:55:00,8528.74,144.32,TRADE
NSW1,2023/09/01 07:00:00,8619,130.03,TRADE
NSW1,2023/09/01 07:05:00,8625.93,120,TRADE
NSW1,2023/09/01 07:10:00,8516.22,72.23,TRADE
NSW1,2023/09/01 07:15:00,8566.49,85.98,TRADE
NSW1,2023/09/01 07:20:00,8572.66,85.98,TRADE
NSW1,2023/09/01 07:25:00,8542.8,88.88,TRADE
NSW1,2023/09/01 07:30:00,8528.87,88.89,TRADE
NSW1,2023/09/01 07:35:00,8571.29,131.12,TRADE
NSW1,2023/09/01 07:40:00,8486.45,116.92,TRADE
NSW1,2023/09/01 07:45:00,8404.74,59.96,TRADE
NSW1,2023/09/01 07:50:00,8375.06,59.46,TRADE
NSW1,2023/09/01 07:55:00,8307.8,58.95,TRADE
NSW1,2023/09/01 08:00:00,8274.89,58.50,TRADE
NSW1,2023/09/01 08:05:00,8148.74,57.07,TRADE
NSW1,2023/09/01 08:10:00,8175.59,56.67,TRADE
NSW1,2023/09/01 08:15:00,8083.85,0,TRADE
NSW1,2023/09/01 08:20:00,8029.63,55.72,TRADE
NSW1,2023/09/01 08:25:00,7939.56,55.35,TRADE
NSW1,2023/09/01 08:30:00,7798.47,56.06,TRADE
NSW1,2023/09/01 08:35:00,7722.93,29.37,TRADE
NSW1,2023/09/01 08:40:00,7625.92,54.95,TRADE
NSW1,2023/09/01 08:45:00,7459.1,28.77,TRADE
NSW1,2023/09/01 08:50:00,7401.93,54.95,TRADE
NSW1,2023/09/01 08:55:00,7257.74,54.95,TRADE
NSW1,2023/09/01 09:00:00,7186.85,55.50,TRADE
NSW1,2023/09/01 09:05:00,7087.63,56.40,TRADE
NSW1,2023/09/01 09:10:00,6991.28,55.91,TRADE
NSW1,2023/09/01 09:15:00,6988.74,56.01,TRADE
NSW1,2023/09/01 09:20:00,6890.14,8.43,TRADE
NSW1,2023/09/01 09:25:00,6832.44,54.95,TRADE
NSW1,2023/09/01 09:30:00,6781.24,26.33,TRADE
NSW1,2023/09/01 09:35:00,6704.14,57.62,TRADE
NSW1,2023/09/01 09:40:00,6621.57,8.37,TRADE
NSW1,2023/09/01 09:45:00,6589.23,18.02,TRADE
NSW1,2023/09/01 09:50:00,6481.37,11.57,TRADE
NSW1,2023/09/01 09:55:00,6426.45,11.73,TRADE
NSW1,2023/09/01 10:00:00,6350.54,18.15,TRADE
NSW1,2023/09/01 10:05:00,6287.29,57.63,TRADE
NSW1,2023/09/01 10:10:00,6336.8,58.59,TRADE
NSW1,2023/09/01 10:15:00,6294.27,59.11,TRADE
NSW1,2023/09/01 10:20:00,6214.08,58.50,TRADE
NSW1,2023/09/01 10:25:00,6226.53,58.89,TRADE
NSW1,2023/09/01 10:30:00,6144.83,48.03,TRADE
NSW1,2023/09/01 10:35:00,6143.17,59.17,TRADE
NSW1,2023/09/01 10:40:00,6178.17,59.22,TRADE
NSW1,2023/09/01 10:45:00,6233.54,36.06,TRADE
NSW1,2023/09/01 10:50:00,6179.21,58.81,TRADE
NSW1,2023/09/01 10:55:00,6094.51,33.61,TRADE
NSW1,2023/09/01 11:00:00,6063.97,33.25,TRADE
NSW1,2023/09/01 11:05:00,6034.15,60.06,TRADE
NSW1,2023/09/01 11:10:00,5988.58,54.95,TRADE
NSW1,2023/09/01 11:15:00,5970.3,54.95,TRADE
NSW1,2023/09/01 11:20:00,5974.84,60.73,TRADE
NSW1,2023/09/01 11:25:00,5877.33,60.71,TRADE
NSW1,2023/09/01 11:30:00,5865.95,41.13,TRADE
NSW1,2023/09/01 11:35:00,5842.55,61.19,TRADE
NSW1,2023/09/01 11:40:00,5960.11,61.67,TRADE
NSW1,2023/09/01 11:45:00,5898.55,61.50,TRADE
NSW1,2023/09/01 11:50:00,5839.92,34.95,TRADE
NSW1,2023/09/01 11:55:00,5886.74,60.64,TRADE
NSW1,2023/09/01 12:00:00,5819.64,31.65,TRADE
NSW1,2023/09/01 12:05:00,5808.36,28.34,TRADE
NSW1,2023/09/01 12:10:00,5836.71,79.71,TRADE
NSW1,2023/09/01 12:15:00,5771.75,54.95,TRADE
NSW1,2023/09/01 12:20:00,5735.82,59.69,TRADE
NSW1,2023/09/01 12:25:00,5681.3,33.94,TRADE
NSW1,2023/09/01 12:30:00,5588.37,33.58,TRADE
NSW1,2023/09/01 12:35:00,5531.04,33.89,TRADE
NSW1,2023/09/01 12:40:00,5548.38,33.58,TRADE
NSW1,2023/09/01 12:45:00,5539.58,-18.95,TRADE
NSW1,2023/09/01 12:50:00,5530.43,-9.50,TRADE
NSW1,2023/09/01 12:55:00,5477.53,-15.01,TRADE
NSW1,2023/09/01 13:00:00,5468.77,2.91,TRADE
NSW1,2023/09/01 13:05:00,5500.64,49.95,TRADE
NSW1,2023/09/01 13:10:00,5445.28,17.52,TRADE
NSW1,2023/09/01 13:15:00,5483.04,18.36,TRADE
NSW1,2023/09/01 13:20:00,5465.68,17.35,TRADE
NSW1,2023/09/01 13:25:00,5477.61,18.79,TRADE
NSW1,2023/09/01 13:30:00,5449.87,18.78,TRADE
NSW1,2023/09/01 13:35:00,5586.89,17.98,TRADE
NSW1,2023/09/01 13:40:00,5621.31,34.53,TRADE
NSW1,2023/09/01 13:45:00,5607.52,19.25,TRADE
NSW1,2023/09/01 13:50:00,5610.67,17.92,TRADE
NSW1,2023/09/01 13:55:00,5593.46,17.95,TRADE
NSW1,2023/09/01 14:00:00,5546.09,13.56,TRADE
NSW1,2023/09/01 14:05:00,5690.44,19.35,TRADE
NSW1,2023/09/01 14:10:00,5660.06,18.17,TRADE
NSW1,2023/09/01 14:15:00,5743.77,4.26,TRADE
NSW1,2023/09/01 14:20:00,5741.05,10,TRADE
NSW1,2023/09/01 14:25:00,5806.82,18.50,TRADE
NSW1,2023/09/01 14:30:00,5925.84,19.93,TRADE
NSW1,2023/09/01 14:35:00,6000.07,18.99,TRADE
NSW1,2023/09/01 14:40:00,5905.14,10,TRADE
NSW1,2023/09/01 14:45:00,6055.74,20.27,TRADE
NSW1,2023/09/01 14:50:00,6065.38,20.12,TRADE
NSW1,2023/09/01 14:55:00,6094.93,20.31,TRADE
NSW1,2023/09/01 15:00:00,6113.04,0.65,TRADE
NSW1,2023/09/01 15:05:00,6229.67,47.21,TRADE
NSW1,2023/09/01 15:10:00,6301.63,10,TRADE
NSW1,2023/09/01 15:15:00,6329.83,10,TRADE
NSW1,2023/09/01 15:20:00,6417.15,19.14,TRADE
NSW1,2023/09/01 15:25:00,6483.77,9.01,TRADE
NSW1,2023/09/01 15:30:00,6515.69,22.27,TRADE
NSW1,2023/09/01 15:35:00,6635.17,17.80,TRADE
NSW1,2023/09/01 15:40:00,6770.36,10,TRADE
NSW1,2023/09/01 15:45:00,6865.24,9.01,TRADE
NSW1,2023/09/01 15:50:00,6981.45,17.28,TRADE
NSW1,2023/09/01 15:55:00,7105.67,12.49,TRADE
NSW1,2023/09/01 16:00:00,7162.96,12.45,TRADE
NSW1,2023/09/01 16:05:00,7323.58,35.63,TRADE
NSW1,2023/09/01 16:10:00,7438.83,18.93,TRADE
NSW1,2023/09/01 16:15:00,7509.8,60.81,TRADE
NSW1,2023/09/01 16:20:00,7604.88,36.06,TRADE
NSW1,2023/09/01 16:25:00,7660.09,60.72,TRADE
NSW1,2023/09/01 16:30:00,7803.96,62.13,TRADE
NSW1,2023/09/01 16:35:00,7793.77,61.58,TRADE
NSW1,2023/09/01 16:40:00,7985.02,69.80,TRADE
NSW1,2023/09/01 16:45:00,8026.62,96.43,TRADE
NSW1,2023/09/01 16:50:00,8230.62,107.98,TRADE
NSW1,2023/09/01 16:55:00,8330.96,168.85,TRADE
NSW1,2023/09/01 17:00:00,8410.33,165.47,TRADE
NSW1,2023/09/01 17:05:00,8487.67,125.77,TRADE
NSW1,2023/09/01 17:10:00,8512.58,109.15,TRADE
NSW1,2023/09/01 17:15:00,8619.97,168.76,TRADE
NSW1,2023/09/01 17:20:00,8699.84,230,TRADE
NSW1,2023/09/01 17:25:00,8783.28,230,TRADE
NSW1,2023/09/01 17:30:00,8943.1,299.99,TRADE
NSW1,2023/09/01 17:35:00,9067.05,230,TRADE
NSW1,2023/09/01 17:40:00,9095.42,230,TRADE
NSW1,2023/09/01 17:45:00,9197.26,230,TRADE
NSW1,2023/09/01 17:50:00,9362.14,275.46,TRADE
NSW1,2023/09/01 17:55:00,9424.96,230,TRADE
NSW1,2023/09/01 18:00:00,9516.88,299.99,TRADE
NSW1,2023/09/01 18:05:00,9647.27,299.99,TRADE
NSW1,2023/09/01 18:10:00,9658.04,299.99,TRADE
NSW1,2023/09/01 18:15:00,9696.36,299.99,TRADE
NSW1,2023/09/01 18:20:00,9638.13,299.99,TRADE
NSW1,2023/09/01 18:25:00,9739.3,299.99,TRADE
NSW1,2023/09/01 18:30:00,9721.44,299.99,TRADE
NSW1,2023/09/01 18:35:00,9646,299.99,TRADE
NSW1,2023/09/01 18:40:00,9659.14,299.99,TRADE
NSW1,2023/09/01 18:45:00,9611.8,299.99,TRADE
NSW1,2023/09/01 18:50:00,9548.45,299.99,TRADE
NSW1,2023/09/01 18:55:00,9546.74,299.99,TRADE
NSW1,2023/09/01 19:00:00,9535.77,299.99,TRADE
NSW1,2023/09/01 19:05:00,9511.09,230,TRADE
NSW1,2023/09/01 19:10:00,9444.69,223.80,TRADE
NSW1,2023/09/01 19:15:00,9476.6,230,TRADE
NSW1,2023/09/01 19:20:00,9469.86,230,TRADE
NSW1,2023/09/01 19:25:00,9384.99,230,TRADE
NSW1,2023/09/01 19:30:00,9400.05,181,TRADE
NSW1,2023/09/01 19:35:00,9366.19,225.61,TRADE
NSW1,2023/09/01 19:40:00,9348.83,218,TRADE
NSW1,2023/09/01 19:45:00,9264.7,180,TRADE
NSW1,2023/09/01 19:50:00,9314.31,183.31,TRADE
NSW1,2023/09/01 19:55:00,9235.1,183.28,TRADE
NSW1,2023/09/01 20:00:00,9244.67,220,TRADE
NSW1,2023/09/01 20:05:00,9154.69,218,TRADE
NSW1,2023/09/01 20:10:00,9139.89,208.76,TRADE
NSW1,2023/09/01 20:15:00,9168.82,226.59,TRADE
NSW1,2023/09/01 20:20:00,9138.03,180,TRADE
NSW1,2023/09/01 20:25:00,9129.49,226.58,TRADE
NSW1,2023/09/01 20:30:00,9110.91,218,TRADE
NSW1,2023/09/01 20:35:00,9090.23,180,TRADE
NSW1,2023/09/01 20:40:00,9089.16,180,TRADE
NSW1,2023/09/01 20:45:00,9031.98,179.87,TRADE
NSW1,2023/09/01 20:50:00,9034.89,173.23,TRADE
NSW1,2023/09/01 20:55:00,8996.08,171.81,TRADE
NSW1,2023/09/01 21:00:00,8969.3,136.81,TRADE
NSW1,2023/09/01 21:05:00,8986.64,171.59,TRADE
NSW1,2023/09/01 21:10:00,8923.75,179.87,TRADE
NSW1,2023/09/01 21:15:00,8828.95,169.43,TRADE
NSW1,2023/09/01 21:20:00,8766.93,168.51,TRADE
NSW1,2023/09/01 21:25:00,8808.09,173.60,TRADE
NSW1,2023/09/01 21:30:00,8691.54,123.43,TRADE
NSW1,2023/09/01 21:35:00,8676.69,146.14,TRADE
NSW1,2023/09/01 21:40:00,8629.98,159.02,TRADE
NSW1,2023/09/01 21:45:00,8678.18,159.35,TRADE
NSW1,2023/09/01 21:50:00,8611.79,120,TRADE
NSW1,2023/09/01 21:55:00,8614.31,120,TRADE
NSW1,2023/09/01 22:00:00,8616.14,109.15,TRADE
NSW1,2023/09/01 22:05:00,8536.51,101.03,TRADE
NSW1,2023/09/01 22:10:00,8618.98,117.65,TRADE
NSW1,2023/09/01 22:15:00,8574.28,109.15,TRADE
NSW1,2023/09/01 22:20:00,8611.41,109.15,TRADE
NSW1,2023/09/01 22:25:00,8555.8,110.17,TRADE
NSW1,2023/09/01 22:30:00,8563.43,157.94,TRADE
NSW1,2023/09/01 22:35:00,8530.48,142.52,TRADE
NSW1,2023/09/01 22:40:00,8578.67,162.73,TRADE
NSW1,2023/09/01 22:45:00,8565.25,163.28,TRADE
NSW1,2023/09/01 22:50:00,8499.68,142.79,TRADE
NSW1,2023/09/01 22:55:00,8443.73,115.35,TRADE
NSW1,2023/09/01 23:00:00,8425.91,110.55,TRADE
NSW1,2023/09/01 23:05:00,8397.68,97.31,TRADE
NSW1,2023/09/01 23:10:00,8415.02,116.25,TRADE
NSW1,2023/09/01 23:15:00,8450.33,180,TRADE
NSW1,2023/09/01 23:20:00,8347.29,180,TRADE
NSW1,2023/09/01 23:25:00,8306.39,157.91,TRADE
NSW1,2023/09/01 23:30:00,8328.82,137.54,TRADE
NSW1,2023/09/01 23:35:00,8343.99,180,TRADE
NSW1,2023/09/01 23:40:00,8307.28,180,TRADE
NSW1,2023/09/01 23:45:00,8190.6,154.45,TRADE
NSW1,2023/09/01 23:50:00,8257.71,142.86,TRADE
NSW1,2023/09/01 23:55:00,8221.28,123.74,TRADE
NSW1,2023/09/02 00:00:00,8196.81,122.13,TRADE
NSW1,2023/09/02 00:05:00,8096.01,144.21,TRADE
NSW1,2023/09/02 00:10:00,8121.53,111.50,TRADE
NSW1,2023/09/02 00:15:00,8111.73,112.37,TRADE
NSW1,2023/09/02 00:20:00,8030.97,85.98,TRADE
NSW1,2023/09/02 00:25:00,8002.23,85.98,TRADE
NSW1,2023/09/02 00:30:00,7977.07,85.98,TRADE
NSW1,2023/09/02 00:35:00,7916.26,88.88,TRADE
NSW1,2023/09/02 00:40:00,7923.18,79.78,TRADE
NSW1,2023/09/02 00:45:00,7899.48,87,TRADE
NSW1,2023/09/02 00:50:00,7889.9,75.15,TRADE
NSW1,2023/09/02 00:55:00,7853.24,74.75,TRADE
NSW1,2023/09/02 01:00:00,7844.86,75.77,TRADE
NSW1,2023/09/02 01:05:00,7781.48,85.98,TRADE
NSW1,2023/09/02 01:10:00,7770.78,79.53,TRADE
NSW1,2023/09/02 01:15:00,7661.17,85.98,TRADE
NSW1,2023/09/02 01:20:00,7642.94,85.98,TRADE
NSW1,2023/09/02 01:25:00,7567.7,79.16,TRADE
NSW1,2023/09/02 01:30:00,7502.77,75.06,TRADE
NSW1,2023/09/02 01:35:00,7485.73,85.98,TRADE
NSW1,2023/09/02 01:40:00,7487.76,80.91,TRADE
NSW1,2023/09/02 01:45:00,7390.55,76.24,TRADE
NSW1,2023/09/02 01:50:00,7299.55,76.33,TRADE
NSW1,2023/09/02 01:55:00,7315.18,76.38,TRADE
NSW1,2023/09/02 02:00:00,7269.02,75.37,TRADE
NSW1,2023/09/02 02:05:00,7130.51,76.01,TRADE
NSW1,2023/09/02 02:10:00,7146.05,77.03,TRADE
NSW1,2023/09/02 02:15:00,7135.18,79.64,TRADE
NSW1,2023/09/02 02:20:00,7065.7,75.55,TRADE
NSW1,2023/09/02 02:25:00,7066.76,66.55,TRADE
NSW1,2023/09/02 02:30:00,7020.95,74.14,TRADE
NSW1,2023/09/02 02:35:00,7002.39,85.98,TRADE
NSW1,2023/09/02 02:40:00,6975.81,80.38,TRADE
NSW1,2023/09/02 02:45:00,6932.23,74.63,TRADE
NSW1,2023/09/02 02:50:00,6866.76,74.73,TRADE
NSW1,2023/09/02 02:55:00,6888.5,75.71,TRADE
NSW1,2023/09/02 03:00:00,6809.16,75.23,TRADE
NSW1,2023/09/02 03:05:00,6777.64,75.24,TRADE
NSW1,2023/09/02 03:10:00,6722.49,73.76,TRADE
NSW1,2023/09/02 03:15:00,6696.25,66.14,TRADE
NSW1,2023/09/02 03:20:00,6711.28,72.90,TRADE
NSW1,2023/09/02 03:25:00,6677.99,66.18,TRADE
NSW1,2023/09/02 03:30:00,6686.26,79.04,TRADE
NSW1,2023/09/02 03:35:00,6702.22,75.39,TRADE
NSW1,2023/09/02 03:40:00,6649.38,73.40,TRADE
NSW1,2023/09/02 03:45:00,6667.46,79.06,TRADE
NSW1,2023/09/02 03:50:00,6611.17,73.94,TRADE
NSW1,2023/09/02 03:55:00,6643.25,83.48,TRADE
NSW1,2023/09/02 04:00:00,6596.63,67.28,TRADE
NSW1,2023/09/02 04:05:00,6650.62,76.01,TRADE
NSW1,2023/09/02 04:10:00,6612.31,75.45,TRADE
NSW1,2023/09/02 04:15:00,6583.27,80.69,TRADE
NSW1,2023/09/02 04:20:00,6597.97,80.10,TRADE
NSW1,2023/09/02 04:25:00,6595.61,85.98,TRADE
NSW1,2023/09/02 04:30:00,6600.35,87,TRADE
NSW1,2023/09/02 04:35:00,6581.39,85.98,TRADE
NSW1,2023/09/02 04:40:00,6620.97,79.52,TRADE
NSW1,2023/09/02 04:45:00,6661.05,93.34,TRADE
NSW1,2023/09/02 04:50:00,6629.83,88.88,TRADE
NSW1,2023/09/02 04:55:00,6672.64,88.88,TRADE
NSW1,2023/09/02 05:00:00,6711.97,95.87,TRADE
NSW1,2023/09/02 05:05:00,6693.06,79.98,TRADE
NSW1,2023/09/02 05:10:00,6769.88,113.29,TRADE
NSW1,2023/09/02 05:15:00,6813.27,85.98,TRADE
NSW1,2023/09/02 05:20:00,6768.49,88.88,TRADE
NSW1,2023/09/02 05:25:00,6839.68,88.88,TRADE
NSW1,2023/09/02 05:30:00,6844.32,109,TRADE
NSW1,2023/09/02 05:35:00,6851.47,88.88,TRADE
NSW1,2023/09/02 05:40:00,6935.7,113.35,TRADE
NSW1,2023/09/02 05:45:00,6992.48,113.85,TRADE
NSW1,2023/09/02 05:50:00,6979.31,88.89,TRADE
NSW1,2023/09/02 05:55:00,7013.67,113.36,TRADE
NSW1,2023/09/02 06:00:00,7092.94,121.51,TRADE
NSW1,2023/09/02 06:05:00,7174.48,111.34,TRADE
NSW1,2023/09/02 06:10:00,7303.05,111.14,TRADE
NSW1,2023/09/02 06:15:00,7348.52,120,TRADE
NSW1,2023/09/02 06:20:00,7385.15,115.03,TRADE
NSW1,2023/09/02 06:25:00,7334.71,132.05,TRADE
NSW1,2023/09/02 06:30:00,7411.37,120,TRADE
NSW1,2023/09/02 06:35:00,7438.34,108.06,TRADE
NSW1,2023/09/02 06:40:00,7526.45,110.18,TRADE
NSW1,2023/09/02 06:45:00,7541.7,85.41,TRADE
NSW1,2023/09/02 06:50:00,7551.19,73.37,TRADE
NSW1,2023/09/02 06:55:00,7521.38,58.95,TRADE
NSW1,2023/09/02 07:00:00,7587.5,63.76,TRADE
NSW1,2023/09/02 07:05:00,7532.07,61.50,TRADE
NSW1,2023/09/02 07:10:00,7487.25,85.98,TRADE
NSW1,2023/09/02 07:15:00,7569.65,88.88,TRADE
NSW1,2023/09/02 07:20:00,7559.63,54.95,TRADE
NSW1,2023/09/02 07:25:00,7531.68,60.50,TRADE
NSW1,2023/09/02 07:30:00,7464.38,60,TRADE
NSW1,2023/09/02 07:35:00,7484.4,59.96,TRADE
