REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2023/12/01 00:05:00,7186.54,58,TRADE
NSW1,2023/12/01 00:10:00,7277.38,87.16,TRADE
NSW1,2023/12/01 00:15:00,7210.19,70.32,TRADE
NSW1,2023/12/01 00:20:00,7151.8,59.99,TRADE
NSW1,2023/12/01 00:25:00,7096.46,58,TRADE
NSW1,2023/12/01 00:30:00,6921.68,54.95,TRADE
NSW1,2023/12/01 00:35:00,6838.58,58,TRADE
NSW1,2023/12/01 00:40:00,6930.09,59.99,TRADE
NSW1,2023/12/01 00:45:00,6855.01,58,TRADE
NSW1,2023/12/01 00:50:00,6765.88,58,TRADE
NSW1,2023/12/01 00:55:00,6827.74,59.99,TRADE
NSW1,2023/12/01 01:00:00,6763.31,58,TRADE
NSW1,2023/12/01 01:05:00,6721.76,58,TRADE
NSW1,2023/12/01 01:10:00,6830.97,58,TRADE
NSW1,2023/12/01 01:15:00,6801.1,58,TRADE
NSW1,2023/12/01 01:20:00,6764.54,58,TRADE
NSW1,2023/12/01 01:25:00,6670.91,58,TRADE
NSW1,2023/12/01 01:30:00,6582.89,55.61,TRADE
NSW1,2023/12/01 01:35:00,6561.18,58,TRADE
NSW1,2023/12/01 01:40:00,6478.32,56.41,TRADE
NSW1,2023/12/01 01:45:00,6423.77,58,TRADE
NSW1,2023/12/01 01:50:00,6407.99,56.46,TRADE
NSW1,2023/12/01 01:55:00,6419.22,56.46,TRADE
NSW1,2023/12/01 02:00:00,6388.27,56.50,TRADE
NSW1,2023/12/01 02:05:00,6297.11,56.92,TRADE
NSW1,2023/12/01 02:10:00,6413.33,58,TRADE
NSW1,2023/12/01 02:15:00,6393.49,72.11,TRADE
NSW1,2023/12/01 02:20:00,6463.29,58,TRADE
NSW1,2023/12/01 02:25:00,6403.02,57.65,TRADE
NSW1,2023/12/01 02:30:00,6310.72,57.33,TRADE
NSW1,2023/12/01 02:35:00,6342.66,58,TRADE
NSW1,2023/12/01 02:40:00,6333.44,58,TRADE
NSW1,2023/12/01 02:45:00,6279.01,57.76,TRADE
NSW1,2023/12/01 02:50:00,6300.63,58,TRADE
NSW1,2023/12/01 02:55:00,6342.18,58,TRADE
NSW1,2023/12/01 03:00:00,6305.63,58,TRADE
NSW1,2023/12/01 03:05:00,6332.42,58,TRADE
NSW1,2023/12/01 03:10:00,6356.79,58,TRADE
NSW1,2023/12/01 03:15:00,6382.74,58,TRADE
NSW1,2023/12/01 03:20:00,6326.06,58,TRADE
NSW1,2023/12/01 03:25:00,6317.48,58,TRADE
NSW1,2023/12/01 03:30:00,6351.39,58,TRADE
NSW1,2023/12/01 03:35:00,6382.75,58,TRADE
NSW1,2023/12/01 03:40:00,6364.91,58,TRADE
NSW1,2023/12/01 03:45:00,6274.46,57.77,TRADE
NSW1,2023/12/01 03:50:00,6307.25,58,TRADE
NSW1,2023/12/01 03:55:00,6343.84,58,TRADE
NSW1,2023/12/01 04:00:00,6370.8,59.99,TRADE
NSW1,2023/12/01 04:05:00,6402.09,59.99,TRADE
NSW1,2023/12/01 04:10:00,6467.46,65.51,TRADE
NSW1,2023/12/01 04:15:00,6540.7,69.61,TRADE
NSW1,2023/12/01 04:20:00,6633.62,64.95,TRADE
NSW1,2023/12/01 04:25:00,6570.99,64.95,TRADE
NSW1,2023/12/01 04:30:00,6620.14,65.51,TRADE
NSW1,2023/12/01 04:35:00,6725.33,64.95,TRADE
NSW1,2023/12/01 04:40:00,6647.51,59.99,TRADE
NSW1,2023/12/01 04:45:00,6674.13,59.99,TRADE
NSW1,2023/12/01 04:50:00,6732.59,60.30,TRADE
NSW1,2023/12/01 04:55:00,6719.37,64.37,TRADE
NSW1,2023/12/01 05:00:00,6734.27,64.38,TRADE
NSW1,2023/12/01 05:05:00,6794.32,58,TRADE
NSW1,2023/12/01 05:10:00,6859.31,60.33,TRADE
NSW1,2023/12/01 05:15:00,6927.57,63.24,TRADE
NSW1,2023/12/01 05:20:00,7020.99,62.75,TRADE
NSW1,2023/12/01 05:25:00,7048.53,58,TRADE
NSW1,2023/12/01 05:30:00,6957.82,54.50,TRADE
NSW1,2023/12/01 05:35:00,7076.82,49.91,TRADE
NSW1,2023/12/01 05:40:00,7087.58,42.93,TRADE
NSW1,2023/12/01 05:45:00,7137.46,49.53,TRADE
NSW1,2023/12/01 05:50:00,7169.32,49.83,TRADE
NSW1,2023/12/01 05:55:00,7190.5,18.14,TRADE
NSW1,2023/12/01 06:00:00,7108.32,13.11,TRADE
NSW1,2023/12/01 06:05:00,7128.95,29.18,TRADE
NSW1,2023/12/01 06:10:00,7190.68,49.83,TRADE
NSW1,2023/12/01 06:15:00,7110.95,34.34,TRADE
NSW1,2023/12/01 06:20:00,7140.35,10,TRADE
NSW1,2023/12/01 06:25:00,7162.84,18.37,TRADE
NSW1,2023/12/01 06:30:00,7212.62,27.47,TRADE
NSW1,2023/12/01 06:35:00,7289.36,37.71,TRADE
NSW1,2023/12/01 06:40:00,7305.02,36.06,TRADE
NSW1,2023/12/01 06:45:00,7219.41,27.96,TRADE
NSW1,2023/12/01 06:50:00,7245.16,35.88,TRADE
NSW1,2023/12/01 06:55:00,7263.83,35.88,TRADE
NSW1,2023/12/01 07:00:00,7167.77,10,TRADE
NSW1,2023/12/01 07:05:00,7176.55,36.06,TRADE
NSW1,2023/12/01 07:10:00,7164.67,37.44,TRADE
NSW1,2023/12/01 07:15:00,7129.47,38.03,TRADE
NSW1,2023/12/01 07:20:00,6965.89,10,TRADE
NSW1,2023/12/01 07:25:00,6958.42,10,TRADE
NSW1,2023/12/01 07:30:00,6890.18,29.13,TRADE
NSW1,2023/12/01 07:35:00,6821.29,27.24,TRADE
NSW1,2023/12/01 07:40:00,6806.92,59.99,TRADE
NSW1,2023/12/01 07:45:00,6712.57,36.06,TRADE
NSW1,2023/12/01 07:50:00,6567.01,22.95,TRADE
NSW1,2023/12/01 07:55:00,6497.9,10,TRADE
NSW1,2023/12/01 08:00:00,6558.11,10,TRADE
NSW1,2023/12/01 08:05:00,6504.52,12.50,TRADE
NSW1,2023/12/01 08:10:00,6466.47,58.78,TRADE
NSW1,2023/12/01 08:15:00,6420.05,11.75,TRADE
NSW1,2023/12/01 08:20:00,6340.95,0,TRADE
NSW1,2023/12/01 08:25:00,6298.92,51.96,TRADE
NSW1,2023/12/01 08:30:00,6282.7,51.77,TRADE
NSW1,2023/12/01 08:35:00,6254.85,52.12,TRADE
NSW1,2023/12/01 08:40:00,6232.35,36.06,TRADE
NSW1,2023/12/01 08:45:00,6156.05,23.59,TRADE
NSW1,2023/12/01 08:50:00,6135.83,36.06,TRADE
NSW1,2023/12/01 08:55:00,6176.11,19.12,TRADE
NSW1,2023/12/01 09:00:00,6174.21,22.54,TRADE
NSW1,2023/12/01 09:05:00,6168.58,29.75,TRADE
NSW1,2023/12/01 09:10:00,6180.24,29.49,TRADE
NSW1,2023/12/01 09:15:00,6169.47,29.50,TRADE
NSW1,2023/12/01 09:20:00,6147.84,2.83,TRADE
NSW1,2023/12/01 09:25:00,6108.25,7.55,TRADE
NSW1,2023/12/01 09:30:00,6055.38,19,TRADE
NSW1,2023/12/01 09:35:00,6040.12,23.84,TRADE
NSW1,2023/12/01 09:40:00,6104.21,0.44,TRADE
NSW1,2023/12/01 09:45:00,6087.93,0,TRADE
NSW1,2023/12/01 09:50:00,6154.49,54.95,TRADE
NSW1,2023/12/01 09:55:00,6097.52,29.17,TRADE
NSW1,2023/12/01 10:00:00,6157.23,0,TRADE
NSW1,2023/12/01 10:05:00,6199.27,19.77,TRADE
NSW1,2023/12/01 10:10:00,6261.04,0,TRADE
NSW1,2023/12/01 10:15:00,6244.55,54.95,TRADE
NSW1,2023/12/01 10:20:00,6292.86,24.57,TRADE
NSW1,2023/12/01 10:25:00,6274.64,3.60,TRADE
